Technology,Year,Flowcell cost,Reads output,Gb output,Cost per M reads,Cost per Gb,Instrument cost,Notable feature, Link
GridION Flow Cell (RNA or R10.4.1),2017,600,2M,48,300,12.5,100k,Long read RNA with modifications,https://store.nanoporetech.com/eu/flow-cell-r10-4-1-2025.html
PacBio Revio SMRT Cells and sequencing plate,2023,1000,40M,120,27,8,800k,Long read DNA with modifications,https://www.pacb.com/products-and-services/consumables/hifi-sequencing-kits/
PacBio Revio SMRT Cells and sequencing with for Kinnex library,2023,1000,60M,120,18,8,800k,Long read cDNA,https://www.pacb.com/products-and-services/consumables/hifi-sequencing-kits/
PacBio Vega SMRT Cells and sequencing plate,2025,1100,30M,60,37,18,200k,Long read DNA with modifications,https://www.pacb.com/products-and-services/consumables/hifi-sequencing-kits/
Ultima Genomics UG100 (250-300 cycles),2024,2880,8B,2400,0.36,1,1m,,https://www.ultimagenomics.com/products/ug-100-sequencing-platform/
Ultima Genomics UG100 Solaris (250-300 cycles),2025,2880,12B,3600,0.24,0.8,1m,Longer reads when homopolymer stretches are present,https://www.ultimagenomics.com/products/ug-100-sequencing-platform/
Ultima Genomics UG200 Solaris 5B (250-300 cycles),2026,,20B,6000,,0.5,850k,Longer reads when homopolymer stretches are present,https://www.prnewswire.com/news-releases/ultima-genomics-introduces-the-next-generation-of-sequencing-at-scale-with-the-launch-of-the-ug200-series-and-next-generation-solaris-2-0-workflows-delivering-higher-output-better-performance-and-more-flexible-wafer-configuratio-302694374.html?tc=eml_cleartime
Ultima Genomics UG200 Solaris 10B (250-300 cycles),2026,,20B,6000,,0.5,850k,Longer reads when homopolymer stretches are present,https://www.prnewswire.com/news-releases/ultima-genomics-introduces-the-next-generation-of-sequencing-at-scale-with-the-launch-of-the-ug200-series-and-next-generation-solaris-2-0-workflows-delivering-higher-output-better-performance-and-more-flexible-wafer-configuratio-302694374.html?tc=eml_cleartime
Ultima Genomics UG200 Solaris 20B (250-300 cycles),2026,,20B,6000,,0.5,850k,Longer reads when homopolymer stretches are present,https://www.prnewswire.com/news-releases/ultima-genomics-introduces-the-next-generation-of-sequencing-at-scale-with-the-launch-of-the-ug200-series-and-next-generation-solaris-2-0-workflows-delivering-higher-output-better-performance-and-more-flexible-wafer-configuratio-302694374.html?tc=eml_cleartime
Aviti High Throughput kit 2x150,2022,1680,1B,300,1.7,5.6,300k,90% Q40,https://www.elementbiosciences.com/products/aviti/specs
Aviti Medium Throughput kit 2x150,2022,1080,500M,150,2.2,7.2,300k,90% Q40,https://www.elementbiosciences.com/products/aviti/specs
Aviti Medium Throughput kit 2x150,2022,900,250M,75,3.6,12,300k,90% Q40,https://www.elementbiosciences.com/products/aviti/specs
Vitari kit 2x150,2026,,,,,1,650k,,https://www.elementbiosciences.com/news/element-biosciences-introduces-vitari-redefining-what-high-throughput-sequencing-makes-possible
Ion 510™ Chip Kit 400bp,2018,785,3M,1.2,261,653,,,https://www.thermofisher.com/order/catalog/product/A34292
Ion 530™ Chip Kit 600bp,2018,1245,20M,6,62,207,,,https://www.thermofisher.com/order/catalog/product/A27764
Ion 540™ Chip Kit 200bp,2018,1385,70M,14,20,99,,,https://www.thermofisher.com/order/catalog/product/A27765
Ion 550™ Chip Kit 200bp,2018,1475,120M,24,12,62,,,https://www.thermofisher.com/order/catalog/product/A34537
Sanger Sequencing 1kb,1977,10,1,0.000001,10000000,10000000,,,https://www.thermofisher.com/order/catalog/product/4337455
Roche Axelios SBX 500bp,2026,,,,,,750k,One day workflow with only 5h sequencing,https://sequencing.roche.com/global/en/article-listing/sequencing-platform-technologies.html
